game_id,move_number,player,column,row,algorithm,depth,nodes_expanded,pruned_nodes,decision_time,board_state,timestamp
1,14,2,1,3,iterative,7,9540,5189,0.7311239242553711,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 2, 0, 2, 1, 0, 0], [0, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:30.382415
1,15,1,1,2,iterative,7,10966,6329,0.803555965423584,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 1, 0, 2, 2, 0, 0], [0, 2, 0, 2, 1, 0, 0], [0, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:31.186001
1,16,2,1,1,iterative,7,13242,6351,0.9290440082550049,"[[0, 0, 0, 1, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0], [0, 1, 0, 2, 2, 0, 0], [0, 2, 0, 2, 1, 0, 0], [0, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:32.115078
1,17,1,0,4,iterative,7,7013,3237,0.5556778907775879,"[[0, 0, 0, 1, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0], [0, 1, 0, 2, 2, 0, 0], [0, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:32.670791
1,18,2,0,3,iterative,7,5551,2417,0.48390913009643555,"[[0, 0, 0, 1, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0], [0, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:33.154743
1,19,1,1,0,iterative,7,8690,4537,0.6405470371246338,"[[0, 1, 0, 1, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0], [0, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:33.795326
1,20,2,4,1,iterative,7,4691,2099,0.3780350685119629,"[[0, 1, 0, 1, 0, 0, 0], [0, 2, 0, 2, 2, 0, 0], [0, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:34.173393
1,21,1,4,0,iterative,7,2121,815,0.19328093528747559,"[[0, 1, 0, 1, 1, 0, 0], [0, 2, 0, 2, 2, 0, 0], [0, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:34.366704
1,22,2,0,2,iterative,7,982,296,0.08674383163452148,"[[0, 1, 0, 1, 1, 0, 0], [0, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 0]]",2025-12-16T01:53:34.453473
1,23,1,6,5,iterative,7,817,222,0.09343886375427246,"[[0, 1, 0, 1, 1, 0, 0], [0, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 1]]",2025-12-16T01:53:34.546940
1,24,2,0,1,iterative,7,925,191,0.08328604698181152,"[[0, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 1]]",2025-12-16T01:53:34.630276
1,25,1,0,0,iterative,7,1,0,9.298324584960938e-06,"[[1, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0], [1, 2, 0, 1, 2, 0, 1]]",2025-12-16T01:53:34.630303
1,26,2,6,4,iterative,7,136,19,0.01635575294494629,"[[1, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 0], [1, 1, 0, 1, 1, 0, 2], [1, 2, 0, 1, 2, 0, 1]]",2025-12-16T01:53:34.646680
1,27,1,6,3,iterative,7,184,17,0.019320964813232422,"[[1, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 0], [2, 2, 0, 2, 1, 0, 1], [1, 1, 0, 1, 1, 0, 2], [1, 2, 0, 1, 2, 0, 1]]",2025-12-16T01:53:34.666009
1,28,2,6,2,iterative,7,63,11,0.011972188949584961,"[[1, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 2], [2, 2, 0, 2, 1, 0, 1], [1, 1, 0, 1, 1, 0, 2], [1, 2, 0, 1, 2, 0, 1]]",2025-12-16T01:53:34.677993
1,29,1,2,5,iterative,7,32,7,0.008487939834594727,"[[1, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 2], [2, 2, 0, 2, 1, 0, 1], [1, 1, 0, 1, 1, 0, 2], [1, 2, 1, 1, 2, 0, 1]]",2025-12-16T01:53:34.686492
1,30,2,2,4,iterative,7,1,0,3.0994415283203125e-06,"[[1, 1, 0, 1, 1, 0, 0], [2, 2, 0, 2, 2, 0, 0], [2, 1, 0, 2, 2, 0, 2], [2, 2, 0, 2, 1, 0, 1], [1, 1, 2, 1, 1, 0, 2], [1, 2, 1, 1, 2, 0, 1]]",2025-12-16T01:53:34.686503
2,1,1,3,5,minimax_ab,5,1551,1061,0.06275606155395508,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:34.749296
2,2,2,3,4,iterative,5,3425,2092,0.17388129234313965,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:34.923227
2,3,1,3,3,minimax_ab,5,3930,2414,0.15951991081237793,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:35.082780
2,4,2,3,2,iterative,5,3000,1663,0.18426799774169922,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:35.267075
2,5,1,2,5,minimax_ab,5,1822,1098,0.07523393630981445,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0]]",2025-12-16T01:53:35.342332
