game_id,winner,total_moves,game_duration,player1_algorithm,player1_depth,player2_algorithm,player2_depth,timestamp,algorithm_matchup,depth_matchup,winner_type,moves_per_second,move_nodes_expanded_mean,move_nodes_expanded_sum,move_nodes_expanded_max,move_pruned_nodes_mean,move_pruned_nodes_sum,move_pruned_nodes_max,move_decision_time_mean,move_decision_time_sum,move_decision_time_max,move_column_mean,move_column_std,total_moves_normalized,game_duration_normalized,moves_per_second_normalized,move_nodes_expanded_mean_normalized,move_nodes_expanded_sum_normalized,move_nodes_expanded_max_normalized,move_pruned_nodes_mean_normalized,move_pruned_nodes_sum_normalized,move_pruned_nodes_max_normalized,move_decision_time_mean_normalized,move_decision_time_sum_normalized,move_decision_time_max_normalized,move_column_mean_normalized,move_column_std_normalized
31,2,35,198.3964307308197,minimax,5,minimax,7,2025-12-16T02:25:06.576411,minimax_vs_minimax,5_vs_7,player2,0.17641446406607636,88277.15081709274,3089700.278598246,459650.45571964927,0.0,0.0,0.0,5.668431302479335,198.39509558677673,42.61068105697632,3.0,2.014652210534554,0.766909732902564,1.3676340463756353,-0.45713352239301336,1.0046309364731825,1.6933495189664471,1.918256970458129,-0.7997272566273695,-0.8153486258790862,-0.8977854896763038,0.8963216133474231,1.5332228402066463,1.9955559136672512,0.17365172633225293,0.9795174226871909
32,1,38,17.047460794448853,minimax,5,minimax_ab,7,2025-12-16T02:25:23.623912,minimax_vs_minimax_ab,5_vs_7,player1,2.229070971811468,9593.342105263158,364547.0,47345.0,3571.9311706221542,135733.38448364186,25468.19224182093,0.4485904605765092,17.04643750190735,1.9752860069274905,2.736842105263158,1.9408024326302655,1.1076027221079079,-0.38410688066702686,-0.41134020884871664,-0.40385545928976607,-0.3304049946500485,-0.3816554891976109,0.3166075505963568,0.725830075609005,1.2263416079386051,-0.4304630065707279,-0.3860610774928862,-0.46545460915305514,-0.481030722900461,0.6751391654540363
33,1,42,1.662204027175903,iterative,5,minimax,3,2025-12-16T02:25:25.286126,iterative_vs_minimax,5_vs_3,player1,25.26765626441076,612.1190476190476,25709.0,2846.0,273.1904761904762,11474.0,1703.0,0.03955705392928347,1.6613962650299057,0.1732821464538574,3.0,2.0242433093898957,1.5618600410483665,-0.5327208152360972,0.10263431925186461,-0.5646246277006797,-0.5820330176570724,-0.6298787497013728,-0.7143471014659997,-0.6850676011470644,-0.7557499493092835,-0.5344315468786411,-0.5488869981857433,-0.5745897721636851,0.17365172633225293,1.0190479674956439
34,1,17,12.275897979736328,minimax_ab,7,iterative,5,2025-12-16T02:25:37.562032,minimax_ab_vs_iterative,7_vs_5,player1,1.384827409616933,16013.941176470587,272237.0,47852.0,9862.868762781394,167668.76896728372,25468.19224182093,0.7220797118018655,12.275355100631714,2.1102640628814697,2.6470588235294117,1.2217393579743305,-1.277248202329499,-0.43019780619817016,-0.4301746850533071,-0.28892296437757853,-0.3989562870191995,-0.3788273538895049,2.2827127941574634,1.0884389840750994,1.2263416079386051,-0.3609472218506602,-0.43655531229721645,-0.45727990294819515,-0.7043929702857403,-2.288541589119731
35,1,25,0.1584248542785644,iterative,3,minimax_ab,3,2025-12-16T02:25:37.720465,iterative_vs_minimax_ab,3_vs_3,player1,157.8035221420596,121.24,3031.0,215.0,50.64,1266.0,120.0,0.006324863433837843,0.15812158584594607,0.0114941596984863,3.68,1.6,-0.3687335644485822,-0.5472465747335065,3.059415660454649,-0.573411651001352,-0.5988741638855157,-0.6445549311523132,-0.7839007493579243,-0.8009738849595516,-0.8877771133732842,-0.5428785399136767,-0.5647967432376888,-0.5843881742065465,1.8653511751495866,-0.7295075843203566
36,2,23,13.468471050262451,iterative,5,minimax_ab,7,2025-12-16T02:25:51.188943,iterative_vs_minimax_ab,5_vs_7,player2,1.7076919803418826,12831.739130434782,295130.0,46129.0,7363.364542767037,169357.38448364186,25468.19224182093,0.5855548589125924,13.467761754989624,1.9238038063049316,2.782608695652174,1.6775664663469694,-0.5958622239188114,-0.41867814299378286,-0.42297180504695275,-0.34588625026560144,-0.3819554773971978,-0.3884385513961451,1.5015433291482565,1.1076122941543682,1.2263416079386051,-0.3956492521493548,-0.4239356053788669,-0.4685725371887987,-0.3671729056425981,-0.4098106736942571
37,1,14,3.738855838775635,minimax,5,iterative,3,2025-12-16T02:25:54.927807,minimax_vs_iterative,5_vs_3,player1,3.7444610339896354,5666.428571428572,79330.0,19608.0,27.285714285714285,382.0,99.0,0.26703899247305735,3.7385458946228027,0.8656260967254639,2.357142857142857,1.499083969380217,-1.617941191534843,-0.512661390741583,-0.37753292935631944,-0.4741495182619249,-0.5422129673036303,-0.5363773610732225,-0.791199658770046,-0.81101122380068,-0.8895285792263127,-0.4766099491498068,-0.5269037096363046,-0.5326591905874306,-1.4256439710790914,-1.1454417468678308
38,1,36,164.7515368461609,minimax,7,iterative,5,2025-12-16T02:28:39.679350,minimax_vs_iterative,7_vs_5,player1,0.21851085998436248,70603.42686552633,2541723.367158948,459650.45571964927,305.8333333333333,11010.0,2220.0,4.576403412553999,164.75052285194397,40.52896523475647,3.1944444444444446,2.0398801707725656,0.8804740626376787,1.0426410914972963,-0.4561943816015089,0.6882608959808678,1.2864106665385444,1.918256970458129,-0.7041452370136518,-0.6903360685930866,-0.7126305280704406,0.6187488189350872,1.1771491418966376,1.869480492530219,0.65738931382087,1.0834966463044269
39,2,31,17.31448221206665,iterative,7,iterative,3,2025-12-16T02:28:56.993840,iterative_vs_iterative,7_vs_3,player2,1.790408723767423,8884.387096774193,275416.0,39921.0,6357.399499472318,197079.38448364186,25468.19224182093,0.5585048890882923,17.31365156173706,2.2443342208862305,2.7096774193548385,2.0525358037818613,0.3126524139621056,-0.3815275864708582,-0.4211264530590502,-0.4165461703904678,-0.396595496655842,-0.4230678689360303,1.1871493111681686,1.4223805151427862,1.2263416079386051,-0.4025248418501029,-0.38323304637851013,-0.4491601819699811,-0.5486108466922257,1.1356579341087618
40,2,7,0.0524659156799316,minimax,3,minimax_ab,3,2025-12-16T02:28:57.046455,minimax_vs_minimax_ab,3_vs_3,player2,133.4199529215026,177.71428571428572,1244.0,400.0,29.857142857142858,209.0,115.0,0.007482937404087562,0.052380561828612934,0.0170707702636718,2.5714285714285716,1.7182493859684491,-2.4128914996806454,-0.5482700854233898,2.5154354930799854,-0.5724007281133877,-0.6002012266031376,-0.6435229685645427,-0.7903960108044344,-0.8129755446372356,-0.8881941290525767,-0.5425841794572964,-0.5659158419339834,-0.5840504366930884,-0.8925454052753096,-0.24213249611610346
41,2,25,18.270269870758057,minimax_ab,5,iterative,7,2025-12-16T02:29:15.316733,minimax_ab_vs_iterative,5_vs_7,player2,1.3683432251875498,12043.44,301086.0,49439.0,6669.543069018512,166738.5767254628,25468.19224182093,0.7307812595367431,18.26953148841858,2.7655029296875,2.84,1.9295940851208404,-0.3687335644485822,-0.37229515267275354,-0.43054243553822663,-0.35999726775683055,-0.3775324300854151,-0.3699747883392797,1.2847034674188287,1.07787715747041,1.2263416079386051,-0.3587354533209686,-0.3731165945122213,-0.4175965248443429,-0.22439520280123762,0.6289429902156506
42,2,14,152.84272718429563,minimax_ab,3,minimax,7,2025-12-16T02:31:48.159470,minimax_ab_vs_minimax,3_vs_7,player2,0.09159742342937258,176531.9159198998,2471446.8228785973,459650.45571964927,24.428571428571427,342.0,89.0,10.917315551212855,152.84241771697998,40.54522681236267,3.357142857142857,1.9057460827371866,-1.617941191534843,0.9276079083236067,-0.459025730524827,2.5844430737302067,1.2342218686438862,1.918256970458129,-0.7920926009540589,-0.8114654020287854,-0.8903626105848976,2.230488516875383,1.0511209985556724,1.8704653460934053,1.0621493360052223,0.5306513824407932
43,1,33,2.6405398845672607,iterative,5,iterative,5,2025-12-16T02:31:50.800020,iterative_vs_iterative,5_vs_5,player1,12.497444251029798,1256.2727272727273,41457.0,3587.0,642.6363636363636,21207.0,2302.0,0.0799933491331158,2.6397805213928214,0.2084248065948486,2.484848484848485,1.9384467383902397,0.5397810734323348,-0.523270577044024,-0.18226007031077374,-0.5530938984512139,-0.5703382310442527,-0.625745321174141,-0.5988842653023152,-0.5745546837933284,-0.7057914709300438,-0.52415340695295,-0.5385323741791572,-0.5724614193741931,-1.1079387651960297,0.6654299675701576
